Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-04-17 11:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,BAYVIEW,NONE,0 Block of EXETER ST,-122.398617647649,37.7221368407137
2003-04-17 11:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,CENTRAL,NONE,800 Block of MONTGOMERY ST,-122.40368091529899,37.7969760062164
2003-04-17 10:50:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2003-04-17 10:47:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2003-04-17 10:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,INGLESIDE,UNFOUNDED,0 Block of SAMOSET ST,-122.408295574515,37.7445892459185
2003-04-17 10:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780303,37.7650501214714
2003-04-17 10:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,UNFOUNDED,0 Block of SAMOSET ST,-122.408295574515,37.7445892459185
2003-04-17 10:10:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,INGLESIDE,NONE,500 Block of HOLLY PARK CR,-122.42065929081998,37.7362262472789
2003-04-17 10:05:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,INGLESIDE,NOT PROSECUTED,3200 Block of FOLSOM ST,-122.413521382854,37.745934672111396
2003-04-17 10:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,BAYVIEW,NONE,1400 Block of HUDSON AV,-122.38513509507601,37.7383338978754
2003-04-17 10:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,1400 Block of HUDSON AV,-122.38513509507601,37.7383338978754
2003-04-17 10:00:00,MISSING PERSON,MISSING ADULT,Thursday,INGLESIDE,LOCATED,FRANCE AV / PARIS ST,-122.43675507461398,37.719270312876894
2003-04-17 10:00:00,FRAUD,"FALSE PRETENSES, GRAND THEFT",Thursday,TENDERLOIN,NONE,400 Block of EDDY ST,-122.41506687647,37.7835634796332
2003-04-17 10:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,PARK,NONE,600 Block of BAKER ST,-122.441653404219,37.7769044485644
2003-04-17 09:55:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,LEAVENWORTH ST / PINE ST,-122.415560469013,37.7902540013454
2003-04-17 09:50:00,ASSAULT,ASSAULT,Thursday,MISSION,NONE,3700 Block of 17TH ST,-122.429633638174,37.7627651977237
2003-04-17 09:25:00,OTHER OFFENSES,PAROLE VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.41222416474301,37.782072931180004
2003-04-17 09:25:00,DRUG/NARCOTIC,POSSESSION OF OPIUM DERIVATIVE FOR SALES,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.41222416474301,37.782072931180004
2003-04-17 09:20:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.784297384331204
2003-04-17 09:20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.784297384331204
2003-04-17 09:15:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778
2003-04-17 09:14:00,ASSAULT,BATTERY,Thursday,CENTRAL,NONE,600 Block of MASON ST,-122.410271349769,37.7895016291913
2003-04-17 09:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,BAYVIEW,NONE,900 Block of 7TH ST,-122.399574041945,37.7700775519795
2003-04-17 09:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,PARK,NONE,0 Block of DIVISADERO ST,-122.436626109388,37.7681528898012
2003-04-17 09:00:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED",25TH ST / SANCHEZ ST,-122.42950137507499,37.7499628034367
2003-04-17 09:00:00,FRAUD,"TRICK AND DEVICE, PETTY THEFT",Thursday,PARK,EXCEPTIONAL CLEARANCE,200 Block of UPPER TR,-122.445069215681,37.7628549658127
2003-04-17 09:00:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,TENDERLOIN,NOT PROSECUTED,JONES ST / ELLIS ST,-122.412784096509,37.7848656939297
2003-04-17 09:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,MISSION,NONE,4700 Block of 18TH ST,-122.443946644488,37.7599446245821
2003-04-17 09:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,INGLESIDE,NONE,0 Block of VALLEY ST,-122.42345430831699,37.7447521685577
2003-04-17 09:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,2100 Block of FOLSOM ST,-122.415144329833,37.7628783835763
2003-04-17 09:00:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,PARK,NONE,2600 Block of GEARY BL,-122.446612978839,37.7822458223917
2003-04-17 08:55:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,BAYVIEW,"ARREST, BOOKED",0 Block of LATONA ST,-122.392627218053,37.7316182572491
2003-04-17 08:55:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,BAYVIEW,"ARREST, BOOKED",0 Block of LATONA ST,-122.392627218053,37.7316182572491
2003-04-17 08:54:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778
2003-04-17 08:54:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778
2003-04-17 08:54:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778
2003-04-17 08:45:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,SOUTHERN,NONE,700 Block of HARRISON ST,-122.39904565584101,37.7813197113532
2003-04-17 08:32:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,NONE,SUTTER ST / LAGUNA ST,-122.428337917062,37.7867109731376
2003-04-17 08:30:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Thursday,CENTRAL,NONE,600 Block of CALIFORNIA ST,-122.405025778458,37.792508340252
2003-04-17 08:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,1300 Block of HYDE ST,-122.417780778437,37.79326079421261
2003-04-17 08:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,CENTRAL,NONE,1300 Block of HYDE ST,-122.417780778437,37.79326079421261
2003-04-17 08:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,CENTRAL,NONE,1000 Block of MONTGOMERY ST,-122.403891536014,37.7987153189882
2003-04-17 08:29:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-17 08:21:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,SOUTHERN,"ARREST, CITED",BLUXOME ST / 6TH ST,-122.40021364136,37.7741939753148
2003-04-17 08:00:00,MISSING PERSON,MISSING ADULT,Thursday,PARK,NONE,1500 Block of PAGE ST,-122.446355447692,37.77109049873409
2003-04-17 08:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,BAYVIEW,NONE,1500 Block of BAY SHORE BL,-122.401096851568,37.7245556697717
2003-04-17 08:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,SOUTHERN,NONE,400 Block of 2ND ST,-122.393822011628,37.783318849062795
2003-04-17 08:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,MISSION,NONE,500 Block of LIBERTY ST,-122.433530447515,37.7568976172904
2003-04-17 08:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,CENTRAL,NONE,STOCKTON ST / JACKSON ST,-122.40825466405501,37.79582231411
2003-04-17 08:00:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Thursday,BAYVIEW,NONE,1500 Block of BAY SHORE BL,-122.401096851568,37.7245556697717
2003-04-17 08:00:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,SOUTHERN,NONE,400 Block of 2ND ST,-122.393822011628,37.783318849062795
2003-04-17 08:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,JUNIPERO SERRA BL / 19TH AV,-122.47257041823099,37.7171734075953
2003-04-17 08:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,BAYVIEW,NONE,1600 Block of REVERE AV,-122.39089605842501,37.7320100905188
2003-04-17 07:45:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,INGLESIDE,NOT PROSECUTED,400 Block of NEVADA ST,-122.411741107554,37.7363675352988
2003-04-17 07:40:00,VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",Thursday,INGLESIDE,NONE,SAN BRUNO AV / CAMPBELL AV,-122.399550681277,37.715390395522704
2003-04-17 07:34:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-17 07:34:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-17 07:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,BAYVIEW,NONE,3RD ST / PALOU AV,-122.390971734594,37.73401521810371
2003-04-17 07:30:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,MISSION,"ARREST, CITED",18TH ST / CAPP ST,-122.41827216643,37.761902961306795
2003-04-17 07:12:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,PSYCHOPATHIC CASE,800 Block of TURK ST,-122.423127788491,37.781691873286
2003-04-17 07:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.411747371924,37.785998832379796
2003-04-17 07:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,NORTHERN,NONE,0 Block of FELL ST,-122.418500584434,37.7764380944444
2003-04-17 07:00:00,MISSING PERSON,MISSING JUVENILE,Thursday,MISSION,LOCATED,900 Block of DOUGLASS ST,-122.438351328931,37.7490357569484
2003-04-17 07:00:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,SOUTHERN,"ARREST, BOOKED",600 Block of MARKET ST,-122.40255295786501,37.78847491468029
2003-04-17 06:30:00,TRESPASS,TRESPASSING,Thursday,MISSION,"ARREST, BOOKED",2400 Block of MISSION ST,-122.419101058487,37.7584120495369
2003-04-17 06:20:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,MISSION,NONE,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
2003-04-17 05:48:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,INGLESIDE,"ARREST, BOOKED",VIENNA ST / AMAZON AV,-122.43449126422199,37.7150662183209
2003-04-17 05:30:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,MISSION,NONE,1800 Block of MISSION ST,-122.41983289014401,37.7674625261825
2003-04-17 05:25:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,CENTRAL,NONE,1000 Block of HYDE ST,-122.417368206741,37.790509415159505
2003-04-17 05:25:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,CENTRAL,NONE,1000 Block of HYDE ST,-122.417368206741,37.790509415159505
2003-04-17 04:45:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,SOUTHERN,NONE,1800 Block of MARKET ST,-122.424336949139,37.771292378056
2003-04-17 04:04:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Thursday,INGLESIDE,JUVENILE CITED,0 Block of ELK ST,-122.43977582333599,37.7365430606257
2003-04-17 04:04:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,INGLESIDE,JUVENILE CITED,0 Block of ELK ST,-122.43977582333599,37.7365430606257
2003-04-17 04:00:00,ASSAULT,BATTERY,Thursday,RICHMOND,NONE,1400 Block of LYON ST,-122.444807337208,37.784151955804
2003-04-17 03:37:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,PARK,NONE,200 Block of PIERCE ST,-122.43389861042,37.7721545740792
2003-04-17 03:15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TENDERLOIN,NONE,100 Block of MCALLISTER ST,-122.41452262258,37.7808752665663
2003-04-17 03:15:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Thursday,PARK,NONE,1300 Block of FULTON ST,-122.439037573428,37.776802154003896
2003-04-17 03:00:00,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Thursday,NORTHERN,NONE,1800 Block of FRANKLIN ST,-122.424184369394,37.7915405312675
2003-04-17 03:00:00,ROBBERY,"ROBBERY, ARMED WITH A GUN",Thursday,MISSION,"ARREST, BOOKED",100 Block of JULIAN AV,-122.42104645221201,37.76576833464461
2003-04-17 02:55:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Thursday,CENTRAL,NONE,GRANT AV / CALIFORNIA ST,-122.405942287676,37.7924508111492
2003-04-17 02:15:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Thursday,TENDERLOIN,NONE,0 Block of GRANT AV,-122.40485851617399,37.7872026250974
2003-04-17 02:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,MISSION,NONE,1100 Block of GUERRERO ST,-122.42287877305,37.7531815783041
2003-04-17 02:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,0 Block of VERONA PL,-122.448307079193,37.73565063989479
2003-04-17 02:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,WINSTON DR / 19TH AV,-122.474899151628,37.726990531019204
2003-04-17 02:00:00,MISSING PERSON,MISSING JUVENILE,Thursday,BAYVIEW,LOCATED,1500 Block of QUESADA AV,-122.38864282412099,37.731815774366005
2003-04-17 02:00:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,GEARY ST / JONES ST,-122.413174494403,37.7867190155311
2003-04-17 01:50:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,SOUTHERN,NONE,200 Block of 7TH ST,-122.40855068186701,37.7773885566219
2003-04-17 01:45:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED",HAMPSHIRE ST / 24TH ST,-122.407294221812,37.7529064152272
2003-04-17 01:44:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,NORTHERN,NONE,FILLMORE ST / GREENWICH ST,-122.435870220159,37.798951414262795
2003-04-17 01:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,4100 Block of 23RD ST,-122.435363085455,37.752769396596996
2003-04-17 01:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE,100 Block of PRECITA AV,-122.417164791978,37.747062207845104
2003-04-17 00:49:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,INGLESIDE,NONE,600 Block of EDINBURGH ST,-122.433840410588,37.718916167028
2003-04-17 00:35:00,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,INGLESIDE,NONE,MISSION ST / GENEVA AV,-122.441018108862,37.716458683113714
2003-04-17 00:30:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,INGLESIDE,NONE,300 Block of WINDING WY,-122.437810276236,37.7093377378102
2003-04-17 00:08:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,SOUTHERN,NONE,MCALLISTER ST / JONES ST,-122.41197948750099,37.780903969652904
2003-04-17 00:01:00,MISSING PERSON,MISSING ADULT,Thursday,PARK,LOCATED,0 Block of CASTRO ST,-122.435637436721,37.7681694346175
2003-04-17 00:01:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,TARAVAL,NONE,1900 Block of 28TH AV,-122.485852322842,37.751002837966105
2003-04-17 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,2200 Block of GREEN ST,-122.43613059226101,37.795997580513
2003-04-17 00:01:00,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Thursday,NORTHERN,NONE,300 Block of WALLER ST,-122.429442264493,37.7712222643015
2003-04-17 00:01:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,TARAVAL,NONE,1900 Block of 28TH AV,-122.485852322842,37.751002837966105
2003-04-17 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,SOUTHERN,NONE,200 Block of I-80,-122.36493749408001,37.8102044406285
2003-04-17 00:01:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,SOUTHERN,"ARREST, BOOKED",200 Block of MARKET ST,-122.39685349996901,37.79267911710721
2003-04-17 00:01:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Thursday,NORTHERN,NONE,300 Block of WALLER ST,-122.429442264493,37.7712222643015
2003-04-17 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,MISSION,NONE,1200 Block of SANCHEZ ST,-122.42939244880199,37.7495653472137
2003-04-16 23:57:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,CENTRAL,NONE,600 Block of BUSH ST,-122.407324486129,37.790288504126394
2003-04-16 23:50:00,WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-16 23:45:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,MISSION,NONE,500 Block of JERSEY ST,-122.437325143517,37.750237412458
2003-04-16 23:45:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,BAYVIEW,NONE,1800 Block of PALOU AV,-122.396072849654,37.7369730787307
2003-04-16 23:37:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,PARK,NONE,1700 Block of MCALLISTER ST,-122.440879521853,37.77753219352179
2003-04-16 23:37:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of 3RD ST,-122.39142506985701,37.7778727797586
2003-04-16 23:37:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of 3RD ST,-122.39142506985701,37.7778727797586
2003-04-16 23:37:00,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of 3RD ST,-122.39142506985701,37.7778727797586
2003-04-16 23:35:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Wednesday,MISSION,"ARREST, BOOKED",17TH ST / CAPP ST,-122.41848629658199,37.763495437318895
2003-04-16 23:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,200 Block of ROOSEVELT WY,-122.440340943333,37.765870752763
2003-04-16 23:30:00,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Wednesday,NORTHERN,NONE,1300 Block of BUCHANAN ST,-122.429018666717,37.7820855001414
2003-04-16 23:22:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403793259489,37.7823235897616
2003-04-16 23:22:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403793259489,37.7823235897616
2003-04-16 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,TARAVAL,NONE,JUAN BAUTISTA CR / CRESPI DR,-122.477524721711,37.71843360970939
2003-04-16 23:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,BAYVIEW,NONE,2000 Block of JERROLD AV,-122.39869063824499,37.7439408639457
2003-04-16 23:00:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,TARAVAL,NONE,JUAN BAUTISTA CR / CRESPI DR,-122.477524721711,37.71843360970939
2003-04-16 23:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,MISSION,UNFOUNDED,3000 Block of HARRISON ST,-122.411638550839,37.7491884934163
2003-04-16 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,200 Block of STATE DR,-122.48479222649901,37.724326749515
2003-04-16 23:00:00,BURGLARY,"BURGLARY, ATTEMPTED FORCIBLE ENTRY",Wednesday,NORTHERN,NONE,1500 Block of FRANKLIN ST,-122.423803103549,37.788965741879394
2003-04-16 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,UNFOUNDED,3000 Block of HARRISON ST,-122.411638550839,37.7491884934163
2003-04-16 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,BARTLETT ST / 21ST ST,-122.420013069316,37.7569686092337
2003-04-16 22:50:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,BAYVIEW,"ARREST, BOOKED",MARIN ST / ILLINOIS ST,-122.38642855724501,37.7490669574692
2003-04-16 22:50:00,WARRANTS,WARRANT ARREST,Wednesday,BAYVIEW,"ARREST, BOOKED",MARIN ST / ILLINOIS ST,-122.38642855724501,37.7490669574692
2003-04-16 22:45:00,NON-CRIMINAL,FOUND PROPERTY,Wednesday,INGLESIDE,NONE,200 Block of DAY ST,-122.427715864417,37.742774772709105
2003-04-16 22:44:00,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",300 Block of LEAVENWORTH ST,-122.414269361877,37.7842081124308
2003-04-16 22:30:00,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Wednesday,RICHMOND,NONE,1500 Block of BRODERICK ST,-122.441512991207,37.7845714031219
2003-04-16 22:25:00,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,PARK,"ARREST, BOOKED",1100 Block of FULTON ST,-122.43571239783701,37.777226547942206
2003-04-16 22:25:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Wednesday,PARK,"ARREST, BOOKED",1100 Block of FULTON ST,-122.43571239783701,37.777226547942206
2003-04-16 22:25:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,PARK,"ARREST, BOOKED",1100 Block of FULTON ST,-122.43571239783701,37.777226547942206
2003-04-16 22:24:00,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,JUVENILE BOOKED,2300 Block of BUCHANAN ST,-122.43107316900699,37.79156871030021
2003-04-16 22:21:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,INGLESIDE,"ARREST, CITED",100 Block of MARIETTA DR,-122.44753508557899,37.7404598093259
2003-04-16 22:08:00,WARRANTS,WARRANT ARREST,Wednesday,PARK,"ARREST, BOOKED",2400 Block of 15TH ST,-122.43784871345899,37.766031150913705
2003-04-16 22:00:00,MISSING PERSON,MISSING JUVENILE,Wednesday,BAYVIEW,LOCATED,1700 Block of QUESADA AV,-122.392235600843,37.733917775522706
2003-04-16 22:00:00,MISSING PERSON,MISSING JUVENILE,Wednesday,BAYVIEW,LOCATED,1700 Block of QUESADA AV,-122.392235600843,37.733917775522706
2003-04-16 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,6200 Block of CALIFORNIA ST,-122.484487797561,37.78396092282061
2003-04-16 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,1600 Block of FOLSOM ST,-122.415280831397,37.7702324461737
2003-04-16 22:00:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,TARAVAL,NONE,46TH AV / JUDAH ST,-122.505928450155,37.7604217436805
2003-04-16 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,4TH ST / HARRISON ST,-122.399617558789,37.7807906549838
2003-04-16 22:00:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,900 Block of KEARNY ST,-122.405283980519,37.796551048078896
2003-04-16 21:59:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Wednesday,TARAVAL,NONE,2600 Block of 22ND AV,-122.47850183851101,37.738233460271
2003-04-16 21:50:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Wednesday,TENDERLOIN,"ARREST, CITED",0 Block of CYRIL MAGNIN STORTH ST,-122.40864858783002,37.7849124714319
2003-04-16 21:48:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Wednesday,TENDERLOIN,COMPLAINANT REFUSES TO PROSECUTE,JONES ST / TURK ST,-122.412414263588,37.7830037964305
2003-04-16 21:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-04-16 21:30:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of CYRIL MAGNIN STORTH ST,-122.40864858783002,37.7849124714319
2003-04-16 21:30:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Wednesday,INGLESIDE,DISTRICT ATTORNEY REFUSES TO PROSECUTE,0 Block of OCEAN AV,-122.435940703509,37.7237904510244
2003-04-16 21:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,BAYVIEW,NONE,3RD ST / NEWCOMB AV,-122.39041695551701,37.7355926106176
2003-04-16 21:29:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,CENTRAL,"ARREST, BOOKED",SACRAMENTO ST / JONES ST,-122.414295532575,37.7923429638076
2003-04-16 21:29:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,CENTRAL,"ARREST, BOOKED",SACRAMENTO ST / JONES ST,-122.414295532575,37.7923429638076
